Date,Source,Campaign,Impressions,Spend,Clicks,AdGroup,Ad
2023-07-03,Google Ads,gen_analyst_DE,6,0.0,0,,
2023-07-03,Google Ads,performancemax_eng_DE,4,0.01,1,,
2023-07-03,Facebook Ads,,0,0.0,0,,
2023-07-03,Google Ads,,0,0.0,0,,
2023-07-03,CRM,,0,0.0,0,,
2023-07-03,Facebook Ads,03.07.23women,187,3.3,6,women,b3
2023-07-03,Facebook Ads,03.07.23women,4,0.02,1,women,b1
2023-07-03,Bloggers,,0,0.0,0,,
2023-07-03,Youtube Ads,,0,0.0,0,,
2023-07-03,Facebook Ads,02.07.23wide_DE,61,0.58,0,wide,b4
2023-07-03,Facebook Ads,02.07.23wide_DE,21,0.24,1,wide,b1
2023-07-03,Facebook Ads,02.07.23wide_DE,303,5.29,12,wide,b3
2023-07-03,Facebook Ads,03.07.23women,78,0.83,0,women,b4
2023-07-03,SMM,,0,0.0,5,,
2023-07-03,Tiktok Ads,,0,0.0,0,,
2023-07-03,Organic,,0,0.0,48,,
2023-07-03,Telegram posts,,0,0.0,0,,
2023-07-04,Organic,,0,0.0,37,,
2023-07-04,Google Ads,,0,0.0,0,,
2023-07-04,Google Ads,performancemax_eng_DE,35,0.01,1,,
2023-07-04,Google Ads,gen_analyst_DE,50,7.43,5,,
2023-07-04,Tiktok Ads,,0,0.0,0,,
2023-07-04,Telegram posts,,0,0.0,0,,
2023-07-04,Bloggers,,0,0.0,0,,
2023-07-04,SMM,,0,0.0,2,,
2023-07-04,Facebook Ads,02.07.23wide_DE,25,0.53,0,wide,b2
2023-07-04,Tiktok Ads,12.07.2023wide_DE,2156,6.67,8,wide,v2
2023-07-04,CRM,,0,0.0,0,,
2023-07-04,Facebook Ads,,0,0.0,0,,
2023-07-04,Facebook Ads,02.07.23wide_DE,8,0.06,0,wide,b4
2023-07-04,Facebook Ads,02.07.23wide_DE,4,0.02,0,wide,b1
2023-07-04,Facebook Ads,03.07.23women,5,0.02,0,women,b1
2023-07-04,Facebook Ads,03.07.23women,766,11.02,15,women,b3
2023-07-04,Facebook Ads,03.07.23women,19,0.25,0,women,b2
2023-07-04,Facebook Ads,02.07.23wide_DE,1077,15.53,34,wide,b3
2023-07-04,Youtube Ads,,0,0.0,0,,
2023-07-04,Facebook Ads,03.07.23women,14,0.2,0,women,b4
2023-07-04,Tiktok Ads,12.07.2023wide_DE,2849,6.45,6,wide,v1
2023-07-05,Organic,,0,0.0,43,,
2023-07-05,Telegram posts,,0,0.0,0,,
2023-07-05,SMM,,0,0.0,3,,
2023-07-05,Bloggers,,0,0.0,0,,
2023-07-05,CRM,,0,0.0,0,,
2023-07-05,Tiktok Ads,,0,0.0,0,,
2023-07-05,Google Ads,,0,0.0,0,,
2023-07-05,Facebook Ads,02.07.23wide_DE,62,1.16,2,wide,b2
2023-07-05,Google Ads,gen_analyst_DE,117,6.1,7,,
2023-07-05,Google Ads,performancemax_eng_DE,12729,42.4,324,,
2023-07-05,Facebook Ads,03.07.23women,741,10.84,20,women,b3
2023-07-05,Facebook Ads,02.07.23wide_DE,1,0.01,0,wide,b1
2023-07-05,Facebook Ads,03.07.23women,50,0.49,2,women,b2
2023-07-05,Facebook Ads,02.07.23wide_DE,3,0.05,0,wide,b4
2023-07-05,Tiktok Ads,12.07.2023wide_DE,4413,14.69,12,wide,v2
2023-07-05,Facebook Ads,03.07.23women,1,0.0,0,women,b1
2023-07-05,Youtube Ads,,0,0.0,0,,
2023-07-05,Facebook Ads,,0,0.0,0,,
2023-07-05,Tiktok Ads,12.07.2023wide_DE,2103,5.31,3,wide,v1
2023-07-05,Facebook Ads,02.07.23wide_DE,866,15.02,27,wide,b3
2023-07-05,Facebook Ads,03.07.23women,6,0.07,0,women,b4
2023-07-06,Facebook Ads,05.07.23interests_DE,17,0.11,1,interest_programming,b4
2023-07-06,Facebook Ads,04.07.23recentlymoved_DE,29,0.41,0,recentlymoved,b4
2023-07-06,SMM,,0,0.0,0,,
2023-07-06,Telegram posts,,0,0.0,0,,
2023-07-06,Tiktok Ads,,0,0.0,0,,
2023-07-06,Facebook Ads,02.07.23wide_DE,3,0.23,0,wide,b1
2023-07-06,Tiktok Ads,12.07.2023wide_DE,1540,4.13,7,wide,v1
2023-07-06,Facebook Ads,05.07.23interests_DE,10,0.11,0,interest_dataanalytics,b2
2023-07-06,Bloggers,,0,0.0,0,,
2023-07-06,Facebook Ads,,0,0.0,0,,
2023-07-06,Facebook Ads,05.07.23interests_DE,40,0.29,1,interest_work,b2
2023-07-06,Facebook Ads,05.07.23interests_DE,34,0.55,3,interest_programming,b3
2023-07-06,Facebook Ads,03.07.23women,11,0.16,0,women,b4
2023-07-06,Facebook Ads,05.07.23interests_DE,23,0.14,1,interest_programming,b2
2023-07-06,Facebook Ads,03.07.23women,622,9.28,12,women,b3
2023-07-06,Facebook Ads,02.07.23wide_DE,51,0.84,2,wide,b2
2023-07-06,Facebook Ads,05.07.23interests_DE,5,0.02,0,interest_work,b4
2023-07-06,Facebook Ads,05.07.23interests_DE,19,0.11,1,interest_dataanalytics,b4
